Italian,English
di,Of
a,to
che,That
il,The
la,there
e,And
in,in
un,a
per,For
è,And
con,with
una,a
le,the
i,the
su,on
si,Yes
non,Not
ma,but
lo,the
ha,has
del,of the
al,to the
da,from
mi,me
ti,you
gli,The
della,from the
ho,I have
ci,There
no,no
come,as
tu,you
quello,that
ne,neither
quando,when
cosa,What
questo,This
tutto,All
sono,I am
questo,This
come,as
sì,Yes
qui,here
molto,Very
senza,without
anche,Also
fare,Do
suo,his
me,myself
poi,Then
cosa,What
sua,her
io,I
questi,these
se,self
vuole,wants
lui,he
più,more
bene,Well
stato,state
queste,these
adesso,Now
niente,Nothing
deve,needs to
ancora,Still
loro,They
noi,we
ha,has
ora,Now
dove,Where
vuoi,you want
stai,you are
allora,At that time
proprio,own
sta,is
dai,come on
dire,to say
tuo,your
sì,Yes
della,from the
nella,in the
così,Like this
detto,said
era,era
qualcosa,something
quindi,Therefore
vado,I go
dobbiamo,we have to
davvero,Really
altro,other
magari,Perhaps
oggi,Today
essere,to be
dei,of the
stai,you are
solo,Alone
mai,never
ancora,Still
già,Already
perché,Why
certo,Certain
dopo,After
visto,view
signore,Gentleman
vieni,You come
fare,Do
senti,listen
fatto,Done
mia,my
andare,go
sta,is
qualche,some
sempre,Always
tu,you
sa,you know
essere,to be
lì,there
però,However
nostro,our
fai,you do
quasi,Almost
va,it goes
ecco,Here you are
venire,come
sia,is
senti,listen
cosa,What
là,there
bene,Well
meno,less
visto,view
dice,He says
sembra,it seems
poco,little
giorno,day
momento,moment
tutto,All
può,can
allora,At that time
subito,right away
posto,place
anno,year
via,Street
devi,you have to
voleva,he wanted
modo,way
padre,father
madre,mother
poi,Then
puoi,you can
giorni,days
mai,never
stato,state
giorno,day
tempo,time
ieri,Yesterday
settimana,week
nuovo,new
dottore,doctor
avere,have
anche,Also
volevo,I wanted
comunque,Anyway
vedere,see
persone,people
sempre,Always
notte,Night
vedere,see
cos'è,things
fine,end
essere,to be
altro,other
capito,Understood
bello,Handsome
primo,first
ogni,Everything is fine
chi,who
ancora,Still
casa,home
persona,person
modo,way
ecco,Here you are
nostro,our
andiamo,let's go
fa,does
sapere,know
di,Of
tanto,much
però,However
nessuno,Nobody
volta,time
capire,understand
bene,Well
sta,is
vede,you see
così,Like this
lavoro,Work
modo,way
mentre,While
capisce,understands
meglio,Better
parlare,speak
senza,without
qualcuno,someone
dentro,inside
nessuno,Nobody
venuto,came
altra,other
mano,hand
gente,people
cerca,near
sapere,know
niente,Nothing
dove,Where
ieri,Yesterday
grande,great
giorni,days
lavorare,work
sembra,it seems
troppo,too
nuova,new
giovane,young
tutto,All
dov'è,Where
problema,problem
perché,Why
potrebbe,could be
davvero,Really
primo,first
capito,Understood
venuto,came
ieri,Yesterday
voluto,wanted
mai,never
nuovo,new
grande,great
persona,person
modo,way
prossimo,next
altro,other
prima,Before
persona,person
fuori,out
voluto,wanted
qui,here
quale,Which
tutti,everyone
allora,At that time
vuol,wants
vero,True
capisce,understands
però,However
prossimo,next
chiamare,call
dentro,inside
venire,come
ieri,Yesterday
capisce,understands
dopo,After
primo,first
bello,Handsome
voluto,wanted
volta,time
primo,first
